coordinate_id,image_url,tpo,weather_condition,preference,target_age_group
1,https://i.pinimg.com/236x/66/a3/24/66a324ccda9208bce618af87722af49b.jpg,daily,all,normal,20대 초반
2,https://i.pinimg.com/236x/8d/30/7c/8d307c20591f6d4a077ea0764f6dfb82.jpg,daily,all,normal,20대 초반
3,https://i.pinimg.com/236x/1d/9a/87/1d9a878a3ec14160065f661b5338abaf.jpg,daily,all,normal,20대 초반
4,https://i.pinimg.com/236x/15/da/af/15daaf4a454a908d091972348494cd88.jpg,daily,all,normal,20대 초반
5,https://i.pinimg.com/236x/b2/d1/d0/b2d1d004b4436d2263be8fbe52a3b716.jpg,daily,all,normal,20대 초반
6,https://i.pinimg.com/236x/79/a3/d0/79a3d01ad0d70b75590f93e918f61cbf.jpg,daily,all,normal,20대 초반
7,https://i.pinimg.com/236x/c8/2d/7f/c82d7f31109414536e7bf923356d3fdd.jpg,daily,all,normal,20대 초반
8,https://i.pinimg.com/236x/1c/7b/10/1c7b10d282e30a5c65e802e2cecb00aa.jpg,daily,all,normal,20대 초반
9,https://i.pinimg.com/236x/1e/ed/f6/1eedf6e8a8971b796df18a2633a06e17.jpg,daily,all,normal,20대 초반
10,https://i.pinimg.com/236x/06/1c/b6/061cb69f1038ef8037c3a6620635db67.jpg,daily,all,normal,20대 초반
11,https://i.pinimg.com/236x/24/3a/68/243a6841021e9a3e740efd99bc0d0bfc.jpg,daily,all,normal,20대 중반
12,https://i.pinimg.com/236x/e5/62/7a/e5627a1238e839bd7adbba33a6f0a738.jpg,daily,all,normal,20대 중반
13,https://i.pinimg.com/236x/1e/a0/04/1ea004dc54160aca002b51b9e439a0b9.jpg,daily,all,normal,20대 중반
14,https://i.pinimg.com/236x/8e/c2/1a/8ec21aba253ef293cb0cddbd8a193e9c.jpg,daily,all,normal,20대 중반
15,https://i.pinimg.com/236x/6d/40/51/6d4051b79ea03720d241e0d87943841d.jpg,daily,all,normal,20대 중반
16,https://i.pinimg.com/236x/af/59/ef/af59ef1b127823c31f377d5026978032.jpg,daily,all,normal,20대 중반
17,https://i.pinimg.com/236x/79/a3/d0/79a3d01ad0d70b75590f93e918f61cbf.jpg,daily,all,normal,20대 중반
18,https://i.pinimg.com/236x/b6/27/fb/b627fbe310a6753e4d81a675c9efa363.jpg,daily,all,normal,20대 중반
19,https://i.pinimg.com/236x/3d/82/a7/3d82a75f17d13b863543ec4ce8428bfe.jpg,daily,all,normal,20대 중반
20,https://i.pinimg.com/236x/b8/22/d2/b822d2453bcbc9876d753846b02e9ec1.jpg,daily,all,normal,20대 후반
21,https://i.pinimg.com/236x/c8/2d/7f/c82d7f31109414536e7bf923356d3fdd.jpg,daily,all,normal,20대 후반
22,https://i.pinimg.com/236x/23/bb/1d/23bb1d572c91222b95c84bacf687539c.jpg,daily,all,normal,20대 후반
23,https://i.pinimg.com/236x/1e/ed/f6/1eedf6e8a8971b796df18a2633a06e17.jpg,daily,all,normal,20대 후반
24,https://i.pinimg.com/236x/81/fa/b5/81fab50839a384a4431dbd39c2ed680c.jpg,daily,all,normal,20대 후반
25,https://i.pinimg.com/236x/b2/d1/d0/b2d1d004b4436d2263be8fbe52a3b716.jpg,daily,all,normal,20대 후반
26,https://i.pinimg.com/236x/15/da/af/15daaf4a454a908d091972348494cd88.jpg,daily,all,normal,20대 후반
27,https://i.pinimg.com/236x/3e/d8/93/3ed893b4ce9b971629c611f1dd192624.jpg,daily,all,normal,30대 초반
28,https://i.pinimg.com/236x/44/c5/08/44c508c89e6db21e7f2cd462db8b3f75.jpg,daily,all,normal,30대 초반
29,https://i.pinimg.com/236x/9f/b2/8b/9fb28bbead16d6233b1c2dea81a1a7a2.jpg,daily,all,normal,30대 초반
30,https://i.pinimg.com/236x/90/c0/b6/90c0b6d42b1eab7d4ff69cc1687773d1.jpg,daily,all,normal,30대 초반
31,https://i.pinimg.com/236x/65/54/69/6554695cff81fd3199371707c04f5c2e.jpg,daily,all,normal,30대 초반
32,https://i.pinimg.com/236x/a9/56/29/a95629efd4d0d4ab9e229b6bec459404.jpg,daily,all,normal,30대 초반
33,https://i.pinimg.com/236x/18/0e/ae/180eae71e1c3899c2aac54954f25fef0.jpg,daily,all,normal,30대 초반
34,https://i.pinimg.com/236x/65/0d/4a/650d4aa12aca257890a053f0f119b803.jpg,daily,all,normal,30대 초반
35,https://i.pinimg.com/236x/15/aa/4f/15aa4fcd6c62070c1e2e10dcd615bdf2.jpg,daily,all,normal,30대 초반
36,https://i.pinimg.com/236x/96/2f/a5/962fa531d3d7d637cb302e7caa7f058f.jpg,daily,all,normal,30대 초반
37,https://i.pinimg.com/236x/e7/bf/3f/e7bf3fae26cdafa7adf68df0f57c60ab.jpg,daily,all,normal,30대 중반
38,https://i.pinimg.com/videos/thumbnails/originals/c0/8c/bb/c08cbbf00bfb13afe84b02c9252a8e46.0000000.jpg,daily,all,normal,30대 중반
39,https://i.pinimg.com/236x/49/bf/d0/49bfd03eb0e0e8f037d26990d351ca4b.jpg,daily,all,normal,30대 중반
40,https://i.pinimg.com/236x/0b/9a/8b/0b9a8b67ce6056ebb439bb4a57a60b2d.jpg,daily,all,normal,30대 중반
41,https://i.pinimg.com/236x/37/3c/93/373c931a8e058caa971101937c5f48f4.jpg,daily,all,normal,30대 중반
42,https://i.pinimg.com/236x/b6/27/fb/b627fbe310a6753e4d81a675c9efa363.jpg,daily,all,normal,30대 중반
43,https://i.pinimg.com/236x/90/6d/0a/906d0a7b5d06f3fa741b02a5e43da345.jpg,daily,all,normal,30대 중반
44,https://i.pinimg.com/236x/6d/40/51/6d4051b79ea03720d241e0d87943841d.jpg,daily,all,normal,30대 중반
45,https://i.pinimg.com/236x/2d/ff/7e/2dff7e519cfc30baea1b9283e731103d.jpg,daily,all,normal,30대 중반
46,https://i.pinimg.com/236x/a5/ed/b6/a5edb6001310c8ceca5b55c306c7c36e.jpg,daily,all,normal,30대 중반
47,https://i.pinimg.com/236x/16/56/a8/1656a86631c53695bcf8075498f49b32.jpg,daily,all,normal,30대 후반
48,https://i.pinimg.com/236x/5d/de/9b/5dde9b3de38de445df121e8b368817b0.jpg,daily,all,normal,30대 후반
49,https://i.pinimg.com/236x/02/e4/09/02e409a33a80570775d7fdbdfe03f03a.jpg,daily,all,normal,30대 후반
50,https://i.pinimg.com/236x/15/aa/4f/15aa4fcd6c62070c1e2e10dcd615bdf2.jpg,daily,all,normal,30대 후반
51,https://i.pinimg.com/236x/65/0d/4a/650d4aa12aca257890a053f0f119b803.jpg,daily,all,normal,30대 후반
52,https://i.pinimg.com/236x/cb/d8/28/cbd8282510529df9bca4069d381c37d7.jpg,daily,all,normal,30대 후반
53,https://i.pinimg.com/236x/e1/5a/0c/e15a0cdeda0f1054d9310de65d19d3c9.jpg,daily,all,normal,30대 후반
54,https://i.pinimg.com/236x/90/42/61/9042616478d54ce782c2cdccd1c87c40.jpg,daily,all,normal,30대 후반
55,https://i.pinimg.com/236x/56/95/16/569516ac3f692ac350e90e8831f23db1.jpg,daily,all,normal,30대 후반
56,https://i.pinimg.com/236x/65/54/69/6554695cff81fd3199371707c04f5c2e.jpg,daily,all,normal,30대 후반
57,https://i.pinimg.com/236x/e4/b7/9a/e4b79a500e9a2fad6a197088ba8d2647.jpg,daily,all,normal,30대 후반
58,https://i.pinimg.com/videos/thumbnails/originals/6f/a9/5b/6fa95babb379cf4d2c8d081246b23dcb.0000000.jpg,wedding guest,all,normal,20대 초반
59,https://i.pinimg.com/236x/1f/26/0b/1f260b461c45fff52dddc9081d724e64.jpg,wedding guest,all,normal,20대 초반
60,https://i.pinimg.com/236x/06/87/30/068730b82975a6b3cd77b6f0bb7df24e.jpg,wedding guest,all,normal,20대 초반
61,https://i.pinimg.com/236x/46/d9/00/46d9009e619d48765a736bcdd5f00981.jpg,wedding guest,all,normal,20대 초반
62,https://i.pinimg.com/236x/7a/e8/3e/7ae83e346ee61a2fc22eba8b765d1af9.jpg,wedding guest,all,normal,20대 초반
63,https://i.pinimg.com/236x/38/95/61/3895615a4a27d3c1e04f3273c41a8762.jpg,wedding guest,all,normal,20대 초반
64,https://i.pinimg.com/236x/6c/0f/f5/6c0ff5e3ecd1d52659f924997e60787b.jpg,wedding guest,all,normal,20대 초반
65,https://i.pinimg.com/236x/cd/b0/51/cdb05120a06d2a6a607e16a2b100df4e.jpg,wedding guest,all,normal,20대 중반
66,https://i.pinimg.com/236x/27/45/17/2745175ba1987fda470fc192c7713ffd.jpg,wedding guest,all,normal,20대 중반
67,https://i.pinimg.com/236x/e0/94/93/e0949377b7eb92a8612121278c449a9b.jpg,wedding guest,all,normal,20대 중반
68,https://i.pinimg.com/236x/47/b1/62/47b162c5e8e47025a5130c3c04501a89.jpg,wedding guest,all,normal,20대 중반
69,https://i.pinimg.com/236x/9d/84/95/9d8495f99185a1e4e3eac5e222462894.jpg,wedding guest,all,normal,20대 중반
70,https://i.pinimg.com/236x/db/7b/2e/db7b2e9275a78ea60af56bd1a0877e52.jpg,wedding guest,all,normal,20대 중반
71,https://i.pinimg.com/236x/6c/0f/f5/6c0ff5e3ecd1d52659f924997e60787b.jpg,wedding guest,all,normal,20대 중반
72,https://i.pinimg.com/236x/ec/91/17/ec911717de58065ada2b3e006fb41a09.jpg,wedding guest,all,normal,20대 후반
73,https://i.pinimg.com/videos/thumbnails/originals/31/91/ae/3191ae09a17ef4e3aeecc94c4259924c.0000000.jpg,wedding guest,all,normal,20대 후반
74,https://i.pinimg.com/videos/thumbnails/originals/6f/a9/5b/6fa95babb379cf4d2c8d081246b23dcb.0000000.jpg,wedding guest,all,normal,20대 후반
75,https://i.pinimg.com/236x/7a/e8/3e/7ae83e346ee61a2fc22eba8b765d1af9.jpg,wedding guest,all,normal,20대 후반
76,https://i.pinimg.com/236x/6c/0f/f5/6c0ff5e3ecd1d52659f924997e60787b.jpg,wedding guest,all,normal,20대 후반
